inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
iron oxides ci 77491,338,1,ANY,0,False
manganese violet ci 77742,339,1,ANY,0,False
chromium hydroxide green ci 77289,340,1,ANY,0,False
copper lysine prolinate,341,1,ANY,0,False
methyl glucoside phosphate,342,1,ANY,0,False
albiza julibrissin bark extract,343,1,ANY,0,False
kigelia africana fruit extract,344,1,ANY,0,False
chrysin,345,1,ANY,0,False
darutoside,346,1,ANY,0,False
n-hydroxysuccinimide,347,1,ANY,0,False
carthamus tinctorius safflower seed oil,348,1,ANY,0,False
polyglyceryl-10 behenateeicosadioate,350,1,ANY,0,False
mandelic acid,351,2,PM,2,True
glyceryl behenateeicosadioate,352,1,ANY,0,False
oleth-5,353,1,ANY,0,False
spirulina platensis extract,354,1,ANY,0,False
tranexamic acid,355,1,ANY,0,False
malic acid,356,1,ANY,0,True
dipotassium glycyrrhizate,357,1,ANY,0,False
tanacetum annuum flower oil,358,1,ANY,0,False
lavandula angustifolia lavender oil,359,1,ANY,0,False
sodium hylauronate,360,1,ANY,0,False
solanum melongena eggplant fruit extract,361,1,ANY,0,False
euphorbia cerifera candelilla wax,362,1,ANY,0,False
behenyl alcohol,363,1,ANY,0,False
polyglyceryl-3 stearate,364,1,ANY,0,False
peg-8 dimethicone,365,1,ANY,0,False
caprylyl methicone,366,1,ANY,0,False
ergothioneine,367,1,ANY,0,False
copper palmitoyl heptapeptide-14,368,1,ANY,0,False
heptapeptide-15 palmitate,369,1,ANY,0,False
epigallocatechin gallate,370,1,ANY,0,False
aspartic acid,371,1,ANY,0,False
pca,372,1,ANY,0,False
alanine,373,1,ANY,0,False
serine,374,1,ANY,0,False
valine,375,1,ANY,0,False
isoleucine,376,1,ANY,0,False
proline,377,1,ANY,0,False
threonine,378,1,ANY,0,False
lactic acidglycolic acid copolymer,379,4,PM,4,True
polyvinyl alcohol,380,1,ANY,0,False
histidine,381,1,ANY,0,False
phenylalanine,382,1,ANY,0,False
arginine,383,1,ANY,0,False
octyldodecanol,384,1,ANY,0,False
pyridoxine hcl,385,1,ANY,0,False
sodium propoxyhydroxypropyl thiosulfate silica,386,1,ANY,0,False
isohexadecane,387,1,ANY,0,False
adenosine triphosphate,388,1,ANY,0,False
hydrolyzed oat protein,389,1,ANY,0,False
polysilicone-11,390,1,ANY,0,False
polygonum bistorta root extract,391,1,ANY,0,False
nannochloropsis oculata extract,392,1,ANY,0,False
albizia julibrissin bark extract,393,1,ANY,0,False
