product_id,ingredient_id,concentration_rank
P173622,146,14
P173622,199,15
P173622,93,16
P173622,190,17
P173622,456,18
P173622,403,19
P173622,62,20
P173622,28,21
P173622,557,22
P173622,849,23
P173622,5805,24
P173622,595,25
P173622,2484,26
P173622,273,27
P173622,148,28
P173622,4608,29
P173622,42,30
P173622,68,31
P173622,425,32
P173622,711,33
P173622,197,34
P173622,2145,35
P173622,468,36
P173622,5818,37
P173622,325,38
P173622,5819,39
P173652,2,1
P173652,6,2
P173652,45,3
P173652,274,4
P173652,387,5
P173652,8,6
P173652,876,7
P173652,409,8
P173652,286,9
P173652,140,10
P173652,846,11
P173652,1105,12
P173652,34,13
P173652,4225,14
P173652,4528,15
P173652,2134,16
P173652,117,17
P173652,67,18
P173652,849,19
P173652,93,20
P173652,1762,21
P173652,468,22
P173652,28,23
P173652,3883,24
P173652,131,25
P173652,4608,26
P173652,273,27
P173652,148,28
P173652,42,29
P173652,68,30
P173652,2145,31
P173652,425,32
P173652,197,33
P173652,2280,34
P173652,553,35
P173652,1101,36
P173652,5754,37
P173652,338,38
P173652,4613,39
P173726,5756,1
P174502,6505,1
P174502,76,2
P174502,9,3
P174502,45,4
P174502,149,5
P174502,907,6
P174502,3985,7
P174502,1164,8
P174502,336,9
P174502,1614,10
P174502,402,11
P174502,427,12
P174502,6,13
P174502,575,14
P174502,93,15
P174502,1604,16
P174502,1120,17
P174502,1590,18
P174502,3881,19
P174502,1615,20
P174502,1616,21
P174502,390,22
P174502,1063,23
P174502,1131,24
P174502,1617,25
P174502,1594,26
P174502,1061,27
P174502,1618,28
P174502,71,29
P174502,1619,30
P174502,1591,31
P174502,205,32
P174502,199,33
P174502,595,34
P174502,225,35
P174502,86,36
P174502,1323,37
P174502,224,38
P174502,2552,39
P174502,113,40
P174502,8,41
P174502,1620,42
P174502,518,43
P174502,85,44
P174502,64,45
P174502,1449,46
P174502,1621,47
P174502,1622,48
P174502,24,49
P174502,57,50
P174502,1205,51
P174502,34,52
P174502,1358,53
P174502,291,54
P174502,338,55
P174502,1612,56
P174502,1623,57
P174502,294,58
P188306,4602,1
P188306,45,2
P188306,6123,3
P188306,8,4
P188306,336,5
P188306,1131,6
P188306,1120,7
P188306,1133,8
P188306,466,9
P188306,1667,10
P188306,1571,11
P188306,402,12
P188306,1618,13
P188306,1117,14
P188306,1572,15
P188306,1668,16
P188306,5987,17
P188306,1088,18
P188306,6,19
P188306,1669,20
P188306,201,21
P188306,518,22
P188306,1640,23
P188306,99,24
P188306,86,25
P188306,225,26
P188306,93,27
P188306,312,28
P188306,1670,29
P188306,395,30
P188306,85,31
P188306,1671,32
P188306,1122,33
P188306,1639,34
P188306,1672,35
P188306,1673,36
P188306,1674,37
P188306,24,38
P188306,387,39
P188306,190,40
P188306,57,41
P188306,1641,42
P188306,34,43
P188306,294,44
P188307,136,1
P188307,1593,2
P188307,45,3
P188307,1632,4
P188307,1571,5
P188307,86,6
P188307,336,7
P188307,6,8
P188307,1133,9
P188307,669,10
P188307,1633,11
P188307,1642,12
P188307,1640,13
P188307,162,14
P188307,57,15
P188307,1634,16
P188309,6,1
P188309,45,2
P188309,733,3
P188309,336,4
P188309,481,5
P188309,1635,6
P188309,1571,7
P188309,86,8
P188309,201,9
P188309,1636,10
P188309,1633,11
P188309,6158,12
P188309,85,13
P188309,1637,14
P188309,466,15
P188309,1638,16
P188309,1133,17
P188309,1639,18
P188309,1640,19
P188309,1581,20
P188309,110,21
P188309,71,22
P188309,30,23
P188309,57,24
P188309,34,25
P188309,1641,26
P196524,1699,1
P196524,1700,2
P196524,56,3
P196524,1701,4
P196524,150,5
P196524,1702,6
P196524,233,7
P196524,6,8
P196524,86,9
P196524,665,10
P196524,1703,11
P196524,1704,12
P196524,1705,13
P196524,189,14
P196524,929,15
P196524,1706,16
P196524,166,17
P196524,1707,18
P196542,1679,1
P196542,1680,2
P196542,1681,3
P196542,45,4
P196542,4602,5
P196542,8,6
P196542,77,7
P196542,1682,8
P196542,1259,9
P196542,162,10
P196542,29,11
P196542,1415,12
P196542,1618,13
P196542,20,14
P196542,1120,15
P196542,1599,16
P196542,99,17
P196542,1571,18
P196542,1572,19
P196542,1117,20
P196542,85,21
P196542,1683,22
P196542,518,23
P196542,1684,24
P196542,366,25
P196542,669,26
P196542,1685,27
P196542,946,28
P196542,24,29
P196542,93,30
P196542,1068,31
P196542,71,32
P196542,593,33
P196542,681,34
P196542,595,35
P196542,1686,36
P196542,1687,37
P196542,1654,38
P196542,981,39
P196542,1688,40
P196542,312,41
P196542,1689,42
P196542,6158,43
P196542,278,44
P196542,5909,45
P196542,1690,46
P196542,1122,47
P196542,1691,48
P196542,1593,49
P196542,28,50
P196542,147,51
P196542,1692,52
P196542,27,53
P196542,190,54
P196542,57,55
P196542,146,56
P196542,34,57
P196542,294,58
P196542,338,59
P196542,1612,60
P196542,1693,61
P201439,199,1
P201439,6,2
P201439,45,3
P201439,907,4
P201439,1415,5
P201439,420,6
P201439,99,7
P201439,1120,8
P201439,1044,9
P201439,1633,10
P201439,225,11
P201439,1117,12
P201439,1573,13
P201439,1133,14
P201439,466,15
P201439,1722,16
P201439,86,17
P201439,1122,18
P201439,24,19
P201439,71,20
P201439,189,21
P201439,57,22
P201439,146,23
P201439,34,24
P201439,1723,25
P201439,1358,26
P201439,1724,27
P201439,1725,28
P202935,6505,1
P202935,45,2
P202935,6,3
P202935,8,4
P202935,149,5
P202935,75,6
P202935,946,7
P202935,1356,8
P202935,1077,9
P202935,5758,10
P202935,22,11
P202935,78,12
P202935,363,13
P202935,945,14
P202935,5780,15
P202935,5759,16
P202935,163,17
P202935,34,18
P202935,818,19
P202935,67,20
P202935,4225,21
P202935,28,22
P202935,1683,23
P202935,1196,24
P202935,93,25
P202935,5802,26
P202935,5827,27
P202935,273,28
P202935,3883,29
P202935,849,30
P202935,2484,31
P202935,294,32
P202935,68,33
P202935,42,34
P202935,4608,35
P202935,197,36
P202935,131,37
P202935,425,38
P202935,338,39
P202935,1101,40
P202935,2145,41
P202935,147,42
P202935,146,43
P202935,4613,44
P203616,457,1
P203616,6,2
P203616,12,3
P203616,29,4
P203616,114,5
P203616,599,6
P203616,644,7
P203616,292,8
P203616,190,9
P203616,1380,10
P203616,448,11
P203616,59,12
P203616,615,13
P203616,2884,14
P203616,440,15
P203616,4909,16
P203616,1186,17
P203616,958,18
P203616,1056,19
P203616,1062,20
P203616,5590,21
P203616,2312,22
P203616,136,23
P203616,120,24
P203616,34,25
P203616,4614,26
P203616,4613,27
P203616,2929,28
P203616,55,29
P203616,20,30
P203616,4911,31
P203616,608,32
P203616,197,33
P203616,68,34
P203616,42,35
P205614,8,1
P205614,45,2
P205614,6,3
P205614,557,4
P205614,268,5
P205614,1077,6
P205614,1126,7
P205614,409,8
P205614,363,9
P205614,876,10
P205614,75,11
P205614,5812,12
P205614,138,13
P205614,945,14
P205614,5780,15
P205614,12,16
P205614,946,17
P205614,93,18
P205614,34,19
P205614,294,20
P205614,210,21
P205614,1683,22
P205614,849,23
P205614,754,24
P205614,117,25
P205614,1697,26
P205614,5789,27
P205614,291,28
P205614,162,29
P205614,190,30
P205614,3883,31
P205614,68,32
P205614,28,33
P205614,3248,34
P205614,147,35
P205614,131,36
P205614,273,37
P205614,338,38
P205614,42,39
P205614,85,40
P205614,425,41
P205614,2964,42
P205614,4613,43
P214002,457,1
P214002,9,2
P214002,1225,3
P214002,6,4
P214002,2292,5
P214002,894,6
P214002,2626,7
P214002,76,8
P214002,136,9
P214002,1077,10
P214002,575,11
P214002,748,12
P214002,1697,13
P214002,942,14
P214002,1380,15
P214002,5593,16
P214002,1085,17
P214002,58,18
P214002,359,19
P214002,868,20
P214002,2259,21
P214002,4613,22
P214002,1012,23
P214002,5594,24
P214002,2378,25
P214002,34,26
P214002,2079,27
P214002,537,28
P214002,144,29
P214002,55,30
P214002,20,31
P214002,28,32
P214002,114,33
P214002,30,34
P214002,608,35
P214002,425,36
P214002,197,37
P214002,68,38
P214002,42,39
P217513,6,1
P217513,3296,2
P217513,1434,3
P217513,1435,4
P217513,4609,5
P217513,2396,6
P217513,46,7
P217513,1858,8
P217513,3297,9
P217513,98,10
P217513,420,11
P217513,3298,12
P217513,3299,13
P217513,1835,14
P217513,3300,15
P217513,96,16
P217513,631,17
P217513,85,18
P217513,54,19
P217513,3301,20
P217513,3302,21
P217513,4613,22
P217513,3,23
P217513,3303,24
P217513,45,25
P217513,829,26
P217513,210,27
P217513,593,28
P217513,123,29
P217513,448,30
P217513,162,31
P217513,3304,32
P217513,3305,33
P217513,811,34
P217513,411,35
P217513,3306,36
P217513,1584,37
P217513,117,38
P217513,24,39
P217513,28,40
P217513,1031,41
P217513,27,42
P217513,4614,43
P217513,146,44
P217513,451,45
P217513,34,46
P217513,42,47
P217931,136,1
P217931,6,2
P217931,2212,3
P217931,904,4
P217931,889,5
P217931,68,6
P217931,1141,7
P217931,120,8
P217931,42,9
P217931,4517,10
P217931,273,11
P217931,4511,12
P217931,210,13
P217932,6,1
P217932,323,2
P217932,71,3
P217932,456,4
P217932,56,5
P217932,75,6
P217932,334,7
P217932,3224,8
P217932,1424,9
P217932,210,10
P217932,2212,11
P217932,4613,12
P217932,2753,13
P217932,889,14
P217932,68,15
P217932,1141,16
P217932,42,17
P217932,120,18
P217932,667,19
P217932,57,20
P217932,4510,21
P217932,273,22
P217932,4511,23
P218700,3890,1
P232327,1745,1
P232327,1746,2
P232327,1747,3
P232327,1748,4
P232327,1749,5
P232327,251,6
P232327,45,7
